número CNJ;tribunal;classe;data de ajuizamento;suscitante;suscitado(s);tipo (greve, econômico, jurídico, revisional);relator;situação/resultado (acordo, sentença normativa, extinto, pendente);ano de vigência do ACT/DC;fonte (URL);nível de confiança (confirmado em fonte primária / só notícia / não verificado)
1000039-86.2022.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-09-12;Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE;SINDICATO DOS URBANITARIOS;Greve;Alexandre De Souza Agra Belmonte;Acordo Homologado;2022/2024;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10000398620225000000;confirmado em fonte primária
1000051-03.2022.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-09-12;Centrais Elétricas Brasileiras S.A. - ELETROBRAS;SIND DOS TRAB NA IND DE ENER ELET DO SUL DO EST DE SC;Greve;Alexandre De Souza Agra Belmonte;Acordo Homologado;2022/2024;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10000510320225000000;confirmado em fonte primária
1000753-46.2022.5.00.0000;TST;Dissídio Coletivo (DC);;Centrais Elétricas Brasileiras S.A. - ELETROBRAS;FEDERACAO NACIONAL TRABALHADORES INDUSTRIAS URBANAS e outros (28) GVPACV/gto/rmc D E S P A C H O Por meio das manifestações de Id c14ee6b e 4631b58, a Federação Interestadual de Sindicatos de Engenheiros – FISENGE e o Sindicato dos Trabalha...;Econômico;Aloysio Silva Correa Da Veiga;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10007534620225000000;confirmado em fonte primária
1001232-39.2022.5.00.0000;TST;Dissídio Coletivo (DC);2025-05-12;Centrais Elétricas Brasileiras S.A. - ELETROBRAS;FEDERACAO NACIONAL TRABALHADORES INDUSTRIAS URBANAS SUSCITADO : FEDERACAO NACIONAL DOS ENGENHEIROS SUSCITADO : FEDERACAO INTERESTADUAL DE SINDICATOS DE ENGENHEIROS;Econômico;Alexandre De Souza Agra Belmonte;Sentença Normativa (Procedente);2022/2024;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10012323920225000000;confirmado em fonte primária
0000312-40.2021.5.10.0000;TRT-10 (DF/TO);Recurso Ordinário Trabalhista (ROT);;Companhia do Metropolitano do Distrito Federal (Metrô DF);Sindicato dos Trabalhadores em Empresas de Transportes Metroviários do DF;Econômico;Ives Gandra Da Silva Martins Filho;Pendente;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000761-57.2021.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-12-16;Empresa Brasileira de Serviços Hospitalares (EBSERH);CONFEDERACAO DOS TRABALHADORES NO SERVICO PUBLICO FEDERAL;Greve;Ives Gandra Da Silva Martins Filho;Acordo Homologado;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10007615720215000000;confirmado em fonte primária
1000791-92.2021.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2023-11-20;Petróleo Brasileiro S.A. - PETROBRAS;SINDICATO DOS PETROLEIROS DO ESTADO DA BAHIA;Greve;Guilherme Augusto Caputo Bastos;Greve Julgada Abusiva;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10007919220215000000;confirmado em fonte primária
1001174-70.2021.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2021-11-22;Empresa Brasileira de Correios e Telégrafos (ECT);FED NAC DOS TRAB EM EMPRESAS CORREIOS TELEG E SIMILARES;Greve;Alexandre De Souza Agra Belmonte;Greve Julgada Abusiva;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10011747020215000000;confirmado em fonte primária
1001418-96.2021.5.00.0000;TST;Dissídio Coletivo (DC);2022-12-16;Centrais Elétricas Brasileiras S.A. - ELETROBRAS;FEDERACAO NACIONAL TRABALHADORES INDUSTRIAS URBANAS;Econômico;Alexandre De Souza Agra Belmonte;Sentença Normativa;2020/2022;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10014189620215000000;confirmado em fonte primária
1001565-25.2021.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;Empresa Brasil de Comunicação S.A. (EBC);SINDICATO DOS JORNALISTAS PROFISSIONAIS DO DF;Greve;Mauricio Godinho Delgado;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10015652520215000000;confirmado em fonte primária
1000115-81.2020.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-05-09;Empresa Brasileira de Correios e Telégrafos (ECT);FED NAC DOS TRAB EM EMPRESAS CORREIOS TELEG E SIMILARES;Greve;Ives Gandra Da Silva Martins Filho;Extinto sem Resolução de Mérito;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10001158120205000000;confirmado em fonte primária
1001203-57.2020.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-08-15;Empresa Brasileira de Correios e Telégrafos (ECT);FED NAC DOS TRAB EM EMPRESAS CORREIOS TELEG E SIMILARES;Greve;Ives Gandra Da Silva Martins Filho;Sentença Normativa;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10012035720205000000;confirmado em fonte primária
0000309-56.2019.5.10.0000;TRT-10 (DF/TO);Recurso Ordinário (RO);2020-06-08;Companhia do Metropolitano do Distrito Federal (Metrô DF);SINDICATO DOS TRABALHADORES EM EMPRESAS DE TRANSPORTES METROVIÁRIOS E TAMBÉM URBANOS COLETIVOS DE PASSAGEIROS SOBRE TRILHOS DO DISTRITO FEDERAL - SINDMETRÔ/DF, para no mérito, julgar improcedente o pedido de declaração de abusividade da gre...;Greve;Katia Magalhaes Arruda;Greve Julgada Abusiva;2017/2019;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
