número CNJ;tribunal;classe;data de ajuizamento;suscitante;suscitado(s);tipo (greve, econômico, jurídico, revisional);relator;situação/resultado (acordo, sentença normativa, extinto, pendente);ano de vigência do ACT/DC;fonte (URL);nível de confiança (confirmado em fonte primária / só notícia / não verificado)
1000332-61.2019.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO DOS EMPREGADOS EM SOCIEDADES DE ECONOMIA MISTA, EMPRESAS PUBLICAS, PRIVADAS E TERCEIRIZADAS DE TRANSPORTES DE PASSAGEIROS SOBRE TRILHO;COMPANHIA BRASILEIRA DE TRENS URBANOS VMF/db D E S P A C H O Nos autos do DC 1000007-86.2019.5.00.0000, em que figurou como Suscitante a Companhia Brasileira de Trens Urbanos e entre os Suscitados o Sindicato dos Empregados em Sociedade de ...;Econômico;Luiz Philippe Vieira De Mello Filho;Extinto sem Resolução de Mérito;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10003326120195000000;confirmado em fonte primária
1000876-49.2019.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO DOS TR NO C DE M E D DE P EST DO R DE JANEIRO SUSCITANTE: SIND TRAB COM MINERIOS DERIV PETROLEO NO EST RGS;PETROBRAS DISTRIBUIDORA SA GMRLP/rnp/mm D E S P A C H O Considerando a possibilidade de consenso para a solução do presente conflito coletivo, nos termos da reunião bilateral realizada no dia 11/02/2020, na qual esta Vice-Presidência aprese...;Econômico;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10008764920195000000;confirmado em fonte primária
1000881-71.2019.5.00.0000;TST;Dissídio Coletivo (DC);;FEDERACAO NAC DOS TRAB NO COM DE MIN E DER DE PETROLEO;PETROBRAS DISTRIBUIDORA AS GMRLP/rnp/mm D E S P A C H O Considerando a possibilidade de consenso para a solução do presente conflito coletivo, nos termos da reunião bilateral realizada no dia 11/02/2020, na qual esta Vice-Presidência aprese...;Econômico;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10008817120195000000;confirmado em fonte primária
1001069-64.2019.5.00.0000;TST;Dissídio Coletivo (DC);;FEDERACAO NACIONAL DOS TRABALHADORES DO SERVICO PUBLICO FEDERAL - FENADSEF;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Econômico;Aloysio Silva Correa Da Veiga;Acordo Homologado;2018/2019;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10010696420195000000;confirmado em fonte primária
0016343-75.2018.5.16.0000;TRT-16 (MA);Recurso Ordinário Trabalhista (ROT);2022-12-16;Entidade Sindical Profissional;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE;Greve;Alexandre De Souza Agra Belmonte;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000376-17.2018.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2020-12-14;UNIÃO FEDERAL (AGU) e outros;"""vem comunicar para os devidos fins que a partir de 30/05 suas bases estarão de greve, contra o preço abusivo do combustível e a deposição do Sr. Pedro Parente do cargo de Presidente da Petrobras, bem como os mandos e desmandos do governo T...";Greve;Mauricio Godinho Delgado;Greve Julgada Abusiva;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10003761720185000000;confirmado em fonte primária
1000382-24.2018.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2019-05-13;FEDERAÇÃO INTERSTADUAL DOS TRABALHADORES EM PROCESSAMENTO DE DADOS, SERVIÇOS DE INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO;COBRA TECNOLOGIA S.A. D E S P A C H O Trata-se de dissídio coletivo de greve suscitado pela FEDERAÇÃO INTERESTADUAL DOS TRABALHADORES EM TECNOLOGIA DA INFORMAÇÃO em face da empresa COBRA TECONOLOGIA S.A. Cumpre esclarecer às partes que ante...;Greve;Dora Maria Da Costa;Acordo Homologado;2017/2019;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10003822420185000000;confirmado em fonte primária
0011351-52.2017.5.00.0000;TST;Dissídio Coletivo (DC);2021-10-18;FEDERAÇO ÚICA DOS PETROLEIROS - FUP;PETROLEO BRASILEIRO S A PETROBRAS;Jurídico;Katia Magalhaes Arruda;Sentença Normativa (Procedente);2015-2017;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=00113515220175000000;confirmado em fonte primária
1000212-86.2017.5.00.0000;TST;Dissídio Coletivo (DC);2018-06-11;SINDICATO NACIONAL DOS TRABALHADORES DE PESQUISA E DESENVOLVIMENTO AGROPECUARIO;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA Verifico erro material constante na proposta apresentada para análise das partes, especificamente no item II.1, o qual trata do auxílio creche. Assim, corrijo o referido ...;Greve;Dora Maria Da Costa;Acordo Homologado;2017/2018;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10002128620175000000;confirmado em fonte primária
1000224-03.2017.5.00.0000;TST;Dissídio Coletivo (DC);;CONFEDERACAO NACIONAL DOS TRABALHADORES DO RAMO FINANCEIRO;BANCO DA AMAZONIA S.A. GMRLP/rnp/mm D E S P A C H O Trata-se de dissídio coletivo ajuizado pela CONFEDERACÃO NACIONAL DOS TRABALHADORES DO RAMO FINANCEIRO em face do BANCO DA AMAZÔNIA S.A. , postulando a prolação de sentença normativa, tend...;Econômico;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10002240320175000000;confirmado em fonte primária
1000325-40.2017.5.00.0000;TST;Dissídio Coletivo (DC);2018-06-11;FEDERACAO NACIONAL DOS TRABALHADORES FERROVIARIOS;VALEC ENGENHARIA CONSTRUCOES E FERROVIAS S/A;Econômico;Mauricio Godinho Delgado;Acordo Homologado;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10003254020175000000;confirmado em fonte primária
0000251-63.2016.5.17.0000;TRT-17 (ES);Recurso Ordinário (RO);2017-08-14;Sindicato dos Trabalhadores em Alimentação e Afins do Espírito Santo;"Realcafé Solúvel do Brasil S. A.; Rel. Des. Marcello Maciel Mancilha; DEJT 10-07-2015). DA AUSÊNCIA DO MÚTUO CONSENTIMENTO. O art. 114, § 2.º, da Carta Magna deve ser interpretado sistematicamente, encarando-se o ""comum acordo"" como uma fac...";Greve;Mauricio Godinho Delgado;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0010817-61.2016.5.03.0000;TRT-03 (MG);Recurso Ordinário (RO);2019-03-18;Sindicato Intermunicipal dos Trabalhadores na Indústria Energética de Minas Gerais - SINDIELETRO;Companhia Energética de Minas Gerais - CEMIG e Outras, por meio do qual pleiteia: a declaração de abusividade e a consequente nulidade das dispensas realizadas pela Suscitada;Jurídico;Mauricio Godinho Delgado;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0021102-86.2016.5.04.0000;TRT-04 (RS);Recurso Ordinário (RO);2017-06-05;Entidade Sindical Profissional;s COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE D;Econômico;Maria De Assis Calsing;Acordo Homologado;2016/2017;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0021923-90.2016.5.04.0000;TRT-04 (RS);Recurso Ordinário (RO);2018-09-10;Entidade Sindical Profissional;(CEITEC) encontram-se ao abrigo da Convenção Coletiva de Trabalho celebrada entre os Sindicatos profissional (Suscitante) e patronal (Suscitado);Greve;Ives Gandra Martins Filho;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000153-78.2016.5.02.0000;TRT-02 (SP);Recurso Ordinário (RO);2017-08-14;Entidade Sindical Profissional;COMPANHIA PAULISTA DE TRENS METROPOLITANOS - CPTM;Jurídico;Dora Maria Da Costa;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
